Taxon,Level,CRS12,CRS14,CRS21,CRS31,CRS38,CRS40,CRS46,CRS49,CRS52,CRS54,CRS59,CRS62,CRS66,CRS73,CRS9,CRSwNP1,CRSwNP13,CRSwNP16,CRSwNP24,CRSwNP27,CRSwNP30,CRSwNP39,CRSwNP42,CRSwNP45,CRSwNP47,CRSwNP48,CRSwNP57,CRSwNP69,CRSwNP72,CRSwNP74,CRSwNP79,control11,control17,control26,control33,control35,control53,control58,control7,control71
Mycoplasma,genus,0.061514602,0,0,0,0.000490108,0,0,0,0,0.038243854,0.006133955,0,5.91E-05,0,0,0,0,0,0,0,0.000574548,0.002463482,0,0,0,0,0.004773812,0.001694233,0,0,0.007920699,0,0,0.002693199,0.062370361,0.01972914,0.001050362,0,0,0
Myxococcales,order,0.018223411,0.004281814,0,0,0.000354438,0.044818998,0.01041385,0,0.015855208,0.002571015,0,0,0,0.004249123,0,0.001089321,0,0,0.002572178,0,0.002013818,0,0,0,0,0.018396382,0,0.012962478,0,0,0.0294816,0,0,0,0,0,0,0,0,0.005077621
Neisseria,genus,0,0,4.83E-05,7.87E-05,0,0,0,0.002058904,0,0,0,0,0.005237404,0,0,0.002361775,0,0,0,0.00247359,0,0.001579484,0.002896018,0.001763618,0.014475444,0,0.016795085,0.001042113,0,0,0,0.002978131,0,0,0.005388604,0.007450322,0.002488486,0.007837808,0.021298245,0
Neisseriaceae,family,0,0,0,0.002608961,9.84E-05,0.023947774,0.001671804,0.045982182,0,0,0.018645018,0,0.00015956,0,0.001158606,0,0,0,0,9.17E-05,0.001021418,0,0.001363421,0.000150146,9.48E-05,0.011781402,0.001387875,0,0,0,0,0.000388297,0.006693538,0,0,0.001776558,0.003847698,4.19E-05,0.014804717,0.004481079
Niastella,genus,0,0.015166614,0,0,0,0,0,0,0,0,0,0.026832383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027528634
Nitrosopumilus,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012723354,0,0,0,0,0
Nitrospira,genus,0,0,0,0,0.000145845,0.002733519,0,0,0,0,0.010718211,0.010891386,0,0,0,0.001202989,0.004437086,0,0.002910622,0,0,0,0,0,0,0,0,0,0.014233625,0,0,0,0,0,0,0,0,0,0,0
Ohtaekwangia,genus,0.020864645,0,0,0,7.12E-05,0.000264419,0.009530633,0,0.00813986,0,0,0.003208456,0,0.01305472,0,0.001187202,0,0.000234215,0.006213127,0,0,0,0,0,0,0,0,0.011965118,0,0,0,0,0,0,0,0.007783193,0,0,0,0
Opitutus,genus,0,0,0,0,0,0.020106554,0,0,0.00264815,0.00994483,0,0,0,0,0,0,0,0,0.004054208,0,0.000812491,0,0,0,0,0,0,0.021440034,0.004611414,0,0,0,0,0,0,0,0,0,0,0
Paludibacter,genus,0,0,0,0,0,0,0,0,0,0,0.015928182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
