genus,species,CRS_11,CRS_17,CRS_21,CRS_26,CRS_27,CRS_31,CRS_33,CRS_39,CRS_42,CRS_45,CRS_47,CRS_48,CRS_49,CRS_53,CRS_57,CRS_58,CRS_66,CRS_74,CRS_7,CRS_9
Catenulispora,Catenulispora_subtropica,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Catonella,Abiotrophia_defectiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Caulobacter,Caulobacter_vibrioides,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.75,0,0
Cellulomonas,Cellulomonas_cellasea,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cellulomonas,Cellulomonas_humilata,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelatococcus,Chelatococcus_daeguensis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chryseobacterium,Chryseobacterium_caeni,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chryseobacterium,Chryseobacterium_hominis,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chryseobacterium,Chryseobacterium_soldanellicola,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Citrobacter,Citrobacter_farmeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cloacibacterium,Cloacibacterium_normanense,0,0,0,1,0,0,0.333333333,0,0,0,0,0,0,1,0,0,0,0,0,0
Cloacibacterium,Flavobacteriaceae_genomosp.,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium III,Acetivibrio_cellulolyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Clostridium sensu stricto,Clostridium_beijerinckii,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097014925,0,0,0,0,0,0
Clostridium sensu stricto,Clostridium_butyricum,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343283582,1,0,1,0,0,0
Clostridium sensu stricto,Clostridium_chauvoei,0,0,0,0,0,0,0,0,0,0,0,0,0.126315789,0.007462687,0,0,0,0,0,0
Clostridium sensu stricto,Clostridium_disporicum,0.735294118,1,0,0,0,0,0.78125,0,0,0,0.862903226,0,0.631578947,0.52238806,0,1,0,1,0,0
Clostridium sensu stricto,Clostridium_sartagoforme,0,0,0,0,0,0,0,0,0,0,0,0,0.063157895,0.014925373,0,0,0,0,0,0
Clostridium sensu stricto,Clostridium_septicum,0,0,0,0,0,0,0,0,0,0,0.008064516,0,0,0,0,0,0,0,0,0
Clostridium sensu stricto,Clostridium_tertium,0,0,0,0,0,0,0,0,0,0,0,0,0.115789474,0,0,0,0,0,0,0
Clostridium XlVa,Clostridium_aldenense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916666667,0,0,0
Clostridium XlVa,Clostridium_asparagiforme,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0
Clostridium XlVa,Clostridium_indolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0
Clostridium XlVa,Clostridium_saccharolyticum,0,0,0,1,0,0,0,0,0,0,0,0,0,0.388888889,0,0,0,0,0,0
Cobetia,Cobetia_marina,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Collinsella,Collinsella_aerofaciens,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Comamonas,Comamonas_denitrificans,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.846153846,0,0
Comamonas,Comamonas_testosteroni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0,0
Coprococcus,Coprococcus_catus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Coprococcus,Coprococcus_eutactus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Corynebacterium,Corynebacterium_accolens,0,0.036948749,0,0,0,0,0,0.027777778,0.044117647,0.350993377,0,0.238255034,0,0.018018018,0.060606061,0.060240964,0,0,0,0.058139535
Corynebacterium,Corynebacterium_afermentans,0,0,0,0,0.005780347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium,Corynebacterium_amycolatum,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0.007272727,0,0,0,0,0,0,0
Corynebacterium,Corynebacterium_aurimucosum,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0,0,0,0.024096386,0,0,0,0
Corynebacterium,Corynebacterium_auriscanis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027027,0,0,0,0,0,0
Corynebacterium,Corynebacterium_bovis,0,0,0,0,0,0.011904762,0,0,0.014705882,0.006622517,0,0,0,0,0,0,0,0,0,0
Corynebacterium,Corynebacterium_camporealensis,0,0.001191895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium,Corynebacterium_coyleae,0.028571429,0,0.342857143,0.186666667,0,0.053571429,0,0.083333333,0,0,0,0,0,0,0,0,0.228571429,0,0,0
Corynebacterium,Corynebacterium_durum,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0.162162162,0,0,0.285714286,0,0.011904762,0
Corynebacterium,Corynebacterium_fastidiosum,0,0,0,0,0,0,0,0,0.029411765,0.026490066,0,0.100671141,0,0,0,0,0,0,0.011904762,0.046511628
Corynebacterium,Corynebacterium_genitalium,0,0,0,0,0.075144509,0,0,0,0,0,0,0,0.003636364,0,0,0,0,0,0,0
Corynebacterium,Corynebacterium_glutamicum,0,0,0,0,0.086705202,0,0,0,0,0,0,0.130872483,0,0,0,0,0,0,0,0
